n_samples,algorithm,ddim.schedule_params.jump_length,ddim.schedule_params.jump_n_sample,optimize_xt.num_iteration_optimize_xt,optimize_xt.lr_xt,lpips_score_sample0,psnr_score_sample0,ssim_score_sample0,mean time
1,ddim,20,3,8,0.01,0.217,11.623,0.645,45.88771462440491
1,repaint,20,2,5,0.03,0.142,15.788,0.757,390.5198872089386
1,repaint,20,1,2,0.02,0.142,15.788,0.757,879.0784094333649
1,repaint,5,2,8,0.01,0.142,15.788,0.757,390.36757731437683
1,repaint,10,2,5,0.03,0.142,15.788,0.757,802.5996897220612
1,repaint,5,1,2,0.03,0.142,15.788,0.757,388.03530740737915
1,ddim,20,1,5,0.02,0.217,11.623,0.645,45.912070751190186
1,repaint,20,3,2,0.02,0.142,15.788,0.757,392.83449029922485
1,o_ddim,5,3,2,0.03,0.139,18.723,0.742,2221.7812733650208
1,o_ddim,10,1,8,0.03,0.146,17.785,0.723,1130.3765287399292
1,repaint,20,3,2,0.01,0.142,15.788,0.757,389.9776403903961
1,repaint,5,2,5,0.02,0.142,15.788,0.757,389.67677783966064
1,repaint,20,2,2,0.02,0.142,15.788,0.757,392.97866129875183
1,ddim,5,2,2,0.01,0.217,11.623,0.645,42.82749032974243
1,ddim,5,2,5,0.03,0.217,11.623,0.645,44.81046962738037
1,ddim,10,1,2,0.01,0.217,11.623,0.645,45.331302881240845
1,ddim,20,2,5,0.03,0.217,11.623,0.645,44.657437801361084
1,ddim,20,2,8,0.01,0.217,11.623,0.645,44.651368856430054
1,repaint,10,2,2,0.03,0.142,15.788,0.757,857.0819659233093
1,repaint,10,1,5,0.02,0.142,15.788,0.757,847.6149718761444
1,o_ddim,10,2,2,0.02,0.147,15.081,0.726,601.2595021724701
1,repaint,5,2,5,0.03,0.142,15.788,0.757,389.53728461265564
1,ddim,20,2,8,0.02,0.217,11.623,0.645,47.000267028808594
1,ddim,10,2,5,0.01,0.217,11.623,0.645,44.442054986953735
1,ddim,5,1,5,0.03,0.217,11.623,0.645,44.19169569015503
1,o_ddim,10,1,5,0.03,0.143,17.690,0.726,753.6144263744354
1,ddim,10,1,8,0.01,0.217,11.623,0.645,44.0424063205719
1,repaint,5,3,5,0.02,0.142,15.788,0.757,786.6103723049164
1,repaint,5,1,2,0.02,0.142,15.788,0.757,400.1858184337616
1,repaint,20,3,5,0.03,0.142,15.788,0.757,387.1827368736267
1,repaint,5,1,8,0.03,0.142,15.788,0.757,392.49944949150085
1,repaint,20,3,2,0.03,0.142,15.788,0.757,394.5174136161804
1,repaint,10,3,8,0.03,0.142,15.788,0.757,877.4801845550537
1,ddim,10,2,8,0.02,0.217,11.623,0.645,45.54608607292175
1,repaint,20,2,2,0.01,0.142,15.788,0.757,396.24684023857117
1,ddim,10,3,5,0.01,0.217,11.623,0.645,46.65617775917053
1,repaint,5,1,5,0.02,0.142,15.788,0.757,386.5152144432068
1,repaint,10,2,8,0.03,0.142,15.788,0.757,856.3972971439362
1,o_ddim,10,2,8,0.01,0.152,14.730,0.726,2107.448489665985
1,repaint,10,2,2,0.02,0.142,15.788,0.757,872.5506331920624
1,ddim,5,2,8,0.02,0.217,11.623,0.645,43.99939227104187
1,ddim,5,1,2,0.01,0.217,11.623,0.645,45.615272760391235
1,ddim,5,3,5,0.01,0.217,11.623,0.645,44.87150573730469
1,ddim,10,1,5,0.01,0.217,11.623,0.645,45.06152892112732
1,repaint,5,2,2,0.02,0.142,15.788,0.757,390.4859116077423
1,o_ddim,10,1,2,0.03,0.131,18.721,0.741,346.82887625694275
1,repaint,10,3,2,0.02,0.142,15.788,0.757,857.8988256454468
1,o_ddim,5,3,8,0.02,0.147,18.209,0.733,3643.528570175171
1,ddim,5,1,8,0.03,0.217,11.623,0.645,45.040703773498535
1,ddim,20,3,5,0.03,0.217,11.623,0.645,44.723490476608276
1,ddim,10,2,8,0.01,0.217,11.623,0.645,43.36743474006653
1,o_ddim,5,1,5,0.01,0.130,17.811,0.745,666.6178750991821
1,o_ddim,10,2,2,0.03,0.142,17.370,0.729,652.5459158420563
1,ddim,5,2,2,0.02,0.217,11.623,0.645,44.69662070274353
1,ddim,20,1,2,0.01,0.217,11.623,0.645,43.7708580493927
1,ddim,5,2,8,0.01,0.217,11.623,0.645,44.385056018829346
1,repaint,10,2,8,0.01,0.142,15.788,0.757,857.1072945594788
1,repaint,5,3,5,0.03,0.142,15.788,0.757,873.5883481502533
1,o_ddim,10,1,8,0.01,0.129,17.732,0.741,1007.1561233997345
1,repaint,10,3,8,0.02,0.142,15.788,0.757,872.4312796592712
1,repaint,10,3,5,0.01,0.142,15.788,0.757,854.2228946685791
1,repaint,20,2,5,0.01,0.142,15.788,0.757,387.66696524620056
1,ddim,20,1,2,0.03,0.217,11.623,0.645,43.847487926483154
1,ddim,20,2,5,0.01,0.217,11.623,0.645,46.11911225318909
